Company, Latitude, Longitude, Products
KB Armature, 44.789278, 20.422658, TM-2HE
Milan Blagojević Namenska, 43.8575, 20.132918, ST-10; VM-3
SMR Bata, 45.790367, 20.136759, TM-1P; VF-2; VF-2YT-EU
SZR Mikron, 43.938284, 20.315094, TM-1HE
DAKA, 45.361315, 19.534483, SL20HE
Zastava Kovačnica, 44.002574, 20.912309, SL-30HE; SL-40THE
Tehnička škola Priboj, 43.562718, 19.539818, TM-1HE
SZR Alatnica M, 43.891908, 20.345403, VF-3
Swissmechanic, 44.239225, 21.273115, VCE-750
Srednja mašinska škola - Novi Sad, 45.259996, 19.828101, TM-1
MIA Stil, 41.441978, 22.644646, TM-1HE
Industrijska Pneumatika, 43.617833, 20.993006, VCE-500
Dunav AD, 45.261469, 19.855964, TM-2THE
CAT doo, 43.885212, 20.333043, VF-2
AMAK SP, 41.134347, 20.819167, TM-1HE
TENT, 44.670789, 20.160749, VF-5
FERMES, 45.199184, 19.885182, ST-10; ST-10; ST-10; ST-10; VF-1; CL-1; CL-1; 
Sigit, 43.99168, 20.877521, VF-3SS; VF-7
MultiTest, 45.628473, 20.020657, SuperMiniMill 2; SuperMiniMill 2
Nis Naftagas tehnički servisi, 45.371157, 20.414357, VF-4 + HRT210; ST-10; ST-40; VF-3BHE
MPK Trejd, 44.282666, 19.939258, VM-3
Alatnica Bokan, 45.2488936, 19.7171835, VF-2; VF-3; VF-6; VCE-550; VCE-750; VCE-1000
Tim Sistem, 44.949712, 20.197109, VF-3
DEMA STIL, 42.190627, 22.304295, VF-4SS; VF-4SS
Konelek, 44.914164, 20.26076, TL-1; CL-2; VF-2 + TR160
LEONI Malošište, 43.227819, 21.837151, VF-1
Termoplast, 44.063338, 22.102687, VF-1
Sinterfuse, 43.850328, 19.855503, VF-3; ST-10; ST-10
Suprematec, 44.949545, 20.195237, DS-30Y; VM-3
Alatverk, 44.977227, 20.15238, TM-3P; VF-3YT
2A Inzenjering, 44.039336, 20.893909, VF-2SS
DAVAX, 45.310058, 19.899319, VF-3SS + TR210
MSC-CG, 42.090142, 19.107993, TL-1
HDD Surgery, 44.8870061, 20.3094988, ST-10Y; ST-20SSY; VM-2
La Co Me Tecno, 43.769068, 20.6326567, VF-5SS; VF-4SS; VF-4SS
Alcom, 44.871846, 20.108285, VF-4SS
Unimetal, 44.747992, 20.485716, VF-2
LORD Ingenering, 43.879204, 20.346218, VF-2
Super Plast, 44.949142, 20.202747, SL-10; SL-30; VF-3
Vuksanovic SZAR, 44.022416, 21.337252, VF-2
Speld, 44.44303, 21.076696, VF-4; 
GMB Automatik, 44.590891, 20.347146, VM-3
Vuves Commerce, 45.303829, 19.926474, VCE-500
Teleoptik Ziroskopi, 44.852979, 20.386977, DM-2; DM-2 + TRT100; DS30SSY + Hass Barfeeder; ST-15Y + Hass Barfeeder; ST-25Y + Hass Barfeeder; ST-30SSY + Hass Barfeeder; UMC-750SS; VF-3SSYT; VM-2 + TRT160
Euro-Heat, 44.024776, 20.938354, VF-4
MZT Pumpi, 41.994194, 21.486576, ST-25
Metalogalvanic, 43.882806, 20.32651, VM-2
ELBI, 44.275461, 19.887722, ST-15Y
Mlino-mont, 44.848598, 19.48406, ST-40; ST-20
General Solutions, 45.389763, 20.434806, TM2-P
Harder Digital Sova, 43.30517, 21.948511, ST-20Y; VF-2SS + HTR160
Pobeda Compani, 44.949756, 20.204802, VF-6
AbsoluteCNC, 45.240245, 19.676416, ST-20Y; SL-20; SL-20; SL-20; 
DDM Metaling, 42.555808, 21.93998, VF-4SS
CNC Obrada, 44.3797426, 21.0824954, VF-4; UMC-500; VF-2SS; ST-20; ST-25; ST-30Y; ST-30Y; ST-30Y; Nakamura-Tome AS-200LMYS; 
Milija Simovic Doo, 43.853689, 20.385402, VF-3SS
Woksal, 43.84805, 19.86288, VF-2SS
Amphenol, 41.900193, 22.372947, Mini Mill; VF-4SS
EMKA, 44.255372, 20.094232, VF-2SSYT; ST-10; ST-10
Mashtronics, 44.422433, 20.671286, Super MiniMill; VF-6; ST-20Y; 
GS Evrometal, 44.238312, 21.209093, VM-2; VF-3SS + HRT210; VF-6; VF-9/50; UMC-750; 
Biotehnika IVD, 43.712162, 20.725954, VF-2SS
Politehnička Škola Kragujevac, 44.007376, 20.916256, VF-1; ST-10; MiniMill EDU
MetalProfil, 45.811522, 20.108534, VF-4 + HRT210; ST-30
Multidekor, 44.3796527, 21.0825447, ST-20Y; VF-3SS
Orox, 45.2514159, 19.8853961, VF-2SS
Elmed, 45.4109389, 19.9006136, TL-2; VF-2YT
Metalex, 41.4516686, 22.0215567, ST-10
Golas, 44.8718081, 20.1021067, VM-2
ZR Pervas, 44.293147, 19.9214723, HL-2; VCE-750
Junior SZR, 44.9781588, 20.1694006, VCE-500
Fabrorum, 44.2386538, 21.2725677, SL-20
GM Converting, 44.0334777, 20.5100697, VM-3; VCE1250
Agro-Art, 44.9796306, 20.1621943, ST-30Y
Vucko, 44.9759548, 20.1682354, VF-2
Alinoks, 43.9425676, 21.1289675, VF-3
PerunMoto, 44.7943961, 20.5206896, VF-2SS
ZF Serbia, 44.9136505, 20.6438383, VF-2SS; ST-30Y
Leoni Niš, 43.3172012, 21.8359992, SuperMiniMill
SinterMetal-EC, 44.8870268, 20.3099872, SuperMiniMill
PI Brus, 43.1370221, 22.5424502, VF-2
Zarkom, 45.101706, 21.3061999, VF-2SS
Hydromag, 43.8501003, 21.4078904, ST-20
Plazmateh, 43.8905196, 20.3664786, VF-2
Radijator Inženjering, 43.7406977, 20.6679804, VF-2; ST-30Y
Omnis Lukić, 43.3963645, 21.7992348, ST-20Y
Inmold Zona doo, 43.6212911, 19.492731, VM-3; VM-3
DDM Metaling, 42.9705851, 21.9535832, VF-2SS + TR160
Unipromet, 43.889931, 20.3857597, VM-6 + HRT310
Como, 43.9942652, 21.2598991, VM-3
Jomapex, 45.3704184, 20.0473813, ST-30Y
AutoStop Interiors, 43.0098244, 21.9406343, VF-1
Beoven, 44.7960319, 20.3053287, VF-2SS
Vesimpex, 44.7349466, 20.4461196, VF-4
MotoBike, 45.3035643, 19.9287801, ST-10
Sintal, 44.8138959, 20.5250809, VF-1
Marel, 43.5431644, 21.3542394, VF-2SS; VF-3YT
Kordun Metali, 45.7708584, 20.1344769, SL-30
Telix, 45.2484124, 19.8082307, UMC-750; VF-2SSY; VF-2SSY; VF-3SSY
Alfaprodukt, 44.7349208, 20.3792579, VF-2
Kolektor, 45.286823, 19.8028156, TM-2; VF-2YT
Delta Tehnik Marold, 45.2087215, 19.7148817, VF-6SS
SMR Mikron, 44.7285775, 20.3813483, VF-2SS
Microsoft, 44.8184045, 20.4239438, Office Mill + TRT 70
Metalkov 1985, 44.8572865, 20.3527658, ST-10Y; ST-20Y; LNS HYS 6.26-6.46 HS; LNS HYS 6.55-6.68 HS; 
Sato, 43.6863502, 20.5766299, VF-2SS + HRT160
Alatplast, 46.0877168, 19.6342541, Studer S33 brusilica
Srednja škola Knić, 43.9272975, 20.7145764, Super Mini Mill
Tropiko, 45.126045, 19.2301182, VCE-750
3Lateral, 45.25528600000001, 19.834668, ST-10Y; VF-2; HRT-160; TRT160; 
S.R. Janković, 44.641502, 20.893858, SL-20
Adamet, 45.792036, 20.14011, VCE-1600
Tehnotim Šajković, 44.474501, 21.07929, SL-20TBCE; VF-2DCE
PEKOM INŽENJERING, 43.720622, 20.680481, VF-2DHE
Aikiva Machines doo, 44.8674375, 20.4630625, VF-2YT; HRT210
PROMEK, 44.3493792, 21.086559, UMC-500SS; VF-2SS
PWO SEE d.o.o, 44.0003915, 20.9138567, VM-3; VF-6; VF-3; VF-3
Albatros, 45.0340877, 20.0894661, VF-2
Galeb, 44.7378867, 19.6752067, UMC 750; ST-10
EMproject89, 43.631018, 20.8669589, VF-2SS
JE&STE CAD/CAM, 44.807086, 20.343853, TM-2P
LMB Europa, 43.329521, 21.897265, MiniMill
Gama Consulting, 43.229678, 21.5918245, VF-3; VF-6
SZR Universal (Steel Industry), 44.98369553787147, 20.145747301755463, VCE 750
Technique ENG. ING., 43.91283749999999, 20.3389531, SMiniMill
IBC Technologies, 44.7558375, 20.3550781, ST-10
Livnica Kikinda - Cimos, 45.8113125, 20.4386406, ST-35; ST-35; ST-35; ST-35
SZUTR Stojanović, 43.1808125, 22.5730469, VF-3YT/50; SL-30
Mehanika-Fives, 43.5603375, 21.6917344, TL-2HE; VF-1DYTHE / HRT210; VF-3SS
Zombori, 45.7837875, 20.1280469, SL-30THE
TEN FINGERS, 44.9428775, 20.2274542, SL-10
Mechatronics Unmanned systems & Technology Solutions, 44.8440125, 20.5119531, VF-2SS
Johnson Matthey Macedonia, 41.9864417, 21.6224745, VF-3SSYT; TM-3; ST-30; VF-2SS
AMM Manufacturing, 44.1216625, 20.8579844, VF-8/50HE; VF-10/50; ST-30; VF-4SS; VF-4BHE
Leikauf Metallbearbeitung d.o.o., 45.6929125, 20.0822031, VF-2SS-EU; VF-2SS-EU; VF-2SS-EU; 
BSK Obrenovac, 44.6519457, 20.2020344, ST-30Y
AGENA TECHNOLOGY DOO - ŠIMANOVCI, 44.8846125, 20.1023594, TM-3P
Mašinski centar Arsenijević, 43.9004625, 20.3544219, VF-4HE
Miren doo, 46.1226875, 19.6659375, TL-1HE
Dura Automotive, 41.9964875, 21.5973281, TM-1P
GPS Insulators, 44.73538749999999, 20.4462031, VM-3
Top Level, 44.84861249999999, 20.3783594, VF-2SS
TM DOO Štip, 41.7594625, 22.1807656, VF-2SS; VF-2SS; ST-35Y
Avala Auto Centar, 44.9808625, 20.1447656, VF-3SS
MP METAL SOLUTIONS DOO, 44.8826875, 20.3185156, ST-20; VF-4SS; VF-4SS
Technosteel & Consulting doo, 44.9941875, 19.8196406, VF-4BHE; HRT310
Schiebel Components, 44.0063966, 21.2562027, ST-20Y
RASCO-TAMP, 45.9158625, 20.0973827, TL-3HE; VF-2DHE
Termometal, 45.7836125, 20.1222969, SL-20; ST-20; ST-30Y; ST-30
KEDAR DOO, 45.3505625, 19.5841406, TM-3P
CNC Solutions Kukić, 44.7742625, 19.6723594, UMC-750
Metal Konstrukt doo, 45.8110375, 19.6496406, VCE 1250
Plamen doo, 45.0263625, 20.1026719, VF-3
