Puni naziv;Skraćeni naziv;Adresa;Pošta i mesto;Region;Matični broj;Poreski br.;Pravni oblik:;Datum osnivanja:;Delatnost:
DRINA PLASTIKA-86 DOO, NOVA PAZOVA;DRINA PLASTIKA-86 DOO, NOVA PAZOVA;ČETVRTA INDUSTRIJSKA 7;22330 Nova Pazova;Sremski;20290315;105015902;Društvo sa ograničenom odgovornošću;22.5.2007.;Proizvodnja ostalih proizvoda od plastike
SAMOSTALNA RADNJA METALOPLASTIČARSKA, GUMARSKA I IZRADA UGLJENOGRAFITNIH ČETKICA METALIKA-Z VOLF ZORAN PREDUZETNIK, VOJKA;SAMOSTALNA RADNJA METALOPLASTIČARSKA, GUMARSKA I IZRADA UGLJENOGRAFITNIH ČETKICA METALIKA-Z VOLF ZORAN PREDUZETNIK, VOJKA;SVETOG SAVE 8;22313 Vojka;Sremski;52608830;100535233;Preduzetnik;15.10.1993.;Proizvodnja ostale električne opreme
VOLF GORAN PREDUZETNIK SAMOSTALNA RADNJA METALOPLASTIČARSKA GUMARSKA I IZRADA UGLJENOGRAFITNIH ČETKICA METALIKA-G VOJKA, VOJKA;VOLF GORAN PREDUZETNIK SAMOSTALNA RADNJA METALOPLASTIČARSKA GUMARSKA I IZRADA UGLJENOGRAFITNIH ČETKICA METALIKA-G VOJKA, VOJKA;SVETOG SAVE 8;22313 Vojka;Sremski;52608821;100535241;Preduzetnik;15.10.1993.;Proizvodnja ostale električne opreme
UNIVERZITET U BEOGRADU - MAŠINSKI FAKULTET, BEOGRAD;UNIVERZITET U BEOGRADU - MAŠINSKI FAKULTET, BEOGRAD;KRALJICE MARIJE 16;11060 BEOGRAD-PALILULA;Grad Beograd;07032501;100209517;Not Found;1.1.2002.;Visoko obrazovanje
GAMMA PRO-ING DOO JAGODINA;GAMMA PRO-ING DOO;VUKA KARADžIĆA 71;35000 JAGODINA;Pomoravski;21646806;112308027;Društvo sa ograničenom odgovornošću;15.1.2021.;Proizvodnja mašina za industriju hrane, pića i duvana
SMTR METALIKA DEJAN IVKOVIĆ PR, SOPOT;SMTR METALIKA DEJAN IVKOVIĆ PR, SOPOT;Milosava Vlajića 116e;11450 SOPOT;Grad Beograd;55227535;100189626;Preduzetnik;1.9.2000.;Mašinska obrada metala
NOVA METALIKA PROMET doo Beograd-Novi Beograd;NOVA METALIKA PROMET doo Beograd-Novi Beograd;Vinogradska 135 d;11070 NOVI BEOGRAD;Grad Beograd;21366862;110598147;Društvo sa ograničenom odgovornošću;7.3.2018.;Trgovina na veliko otpacima i ostacima
PREDUZEĆE ZA PROIZVODNJU PROMET I USLUGE METALIKA DOO UŽICE;PREDUZEĆE ZA PROIZVODNJU PROMET I USLUGE METALIKA DOO UŽICE;Sarića Osoje bb;31000 Užice;Zlatiborski;07960018;100599030;Društvo sa ograničenom odgovornošću;2.8.1998.;Mašinska obrada metala
SAMOSTALNA RADNJA METALOPLASTIČARSKA, GUMARSKA I IZRADA UGLJENOGRAFITNIH ČETKICA METALIKA-Z VOLF ZORAN PREDUZETNIK, VOJKA;SAMOSTALNA RADNJA METALOPLASTIČARSKA, GUMARSKA I IZRADA UGLJENOGRAFITNIH ČETKICA METALIKA-Z VOLF ZORAN PREDUZETNIK, VOJKA;SVETOG SAVE 8;22313 Vojka;Sremski;52608830;100535233;Preduzetnik;15.10.1993.;Proizvodnja ostale električne opreme
VOLF GORAN PREDUZETNIK SAMOSTALNA RADNJA METALOPLASTIČARSKA GUMARSKA I IZRADA UGLJENOGRAFITNIH ČETKICA METALIKA-G VOJKA, VOJKA;VOLF GORAN PREDUZETNIK SAMOSTALNA RADNJA METALOPLASTIČARSKA GUMARSKA I IZRADA UGLJENOGRAFITNIH ČETKICA METALIKA-G VOJKA, VOJKA;SVETOG SAVE 8;22313 Vojka;Sremski;52608821;100535241;Preduzetnik;15.10.1993.;Proizvodnja ostale električne opreme
