Puni naziv;Skraćeni naziv;Adresa;Pošta i mesto;Region;Matični broj;Poreski br.;Pravni oblik:;Datum osnivanja:;Delatnost:
SRĐAN MARINKOVIĆ PREDUZETNIK, RADNJA ZA ZANATSTVO, TRGOVINU UGOSTITELJSTVO I USLUGE PRENOĆIŠTA SIN-KOM, PIROT;SIN-KOM;RADNIČKA 1A;18300 PIROT;Pirotski;52228352;100374732;Preduzetnik;1.1.1998.;Trgovina na malo delovima i opremom za motorna vozila
SINKOM S.Z.P.R. SINIŠA RAKIĆ;SINKOM S.Z.P.R. SINIŠA RAKIĆ;ĆIRKOVA BB;31300 PRIJEPOLJE;Zlatiborski;56320164;103210723;Not Found;25.3.2004.;Konsultantske delatnosti u oblasti informacione tehnologije
SZR SINKOM SINIŠA MIĆEVIĆ PREDUZETNIK VETERNIK;SZR SINKOM SINIŠA MIĆEVIĆ PREDUZETNIK VETERNIK;Sofije Pasković 14;21203 Veternik;Južno-Bački;61949488;105848857;Preduzetnik;10.11.2008.;Popravka ostalih ličnih predmeta i predmeta za domaćinstvo
Društvo sa ograničenom odgovornošću UNIOR COMPONENTS Kragujevac;UNIOR COMPONENTS D.O.O. Kragujevac;KOSOVSKA 4;34000 KRAGUJEVAC;Šumadijski;06979408;101576466;Društvo sa ograničenom odgovornošću;27.9.2001.;Proizvodnja alata
DRUŠTVO ZA SPOLJNU I UNUTRAŠNJU TRGOVINU I POSREDOVANJE UNIOR TEOS ALATI DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU BEOGRAD (ZVEZDARA);UNIOR TEOS ALATI DOO BEOGRAD;Subotička 23/2;11050 BEOGRAD-ZVEZDARA;Grad Beograd;17084585;101735200;Društvo sa ograničenom odgovornošću;29.9.1995.;Nespecijalizovana trgovina na veliko
SINDIKAT NEZAVISNOST - UNIOR COMPONENTS D.O.O. KRAGUJEVAC;NEZAVISNOST-UNIOR COMPONENTS DOO;TRG TOPOLIVACA 4;34000 KRAGUJEVAC;Šumadijski;17653202;102281886;Not Found;25.2.2003.;Delatnost sindikata
UNIOR PEĆ;UNIOR;M. POPOVIĆ 62;;Not Found;51065930;Not Found;Preduzetnik;1.1.0001.;Not Found
UNIOR S. Z. R. JASMINA ĆURKIĆ;UNIOR S. Z. R. JASMINA ĆURKIĆ;8. MART 60;36300 NOVI PAZAR;Raški;55873798;102867308;Not Found;16.6.2003.;Bojenje i zastakljivanje
SINDIKAT NEZAVISNOST ZASTAVA INPRO D.O.O.;SINDIKAT NEZAVISNOST ZASTAVA INPRO D.O.O.;KOSOVSKA 4;34000 KRAGUJEVAC;Šumadijski;17866478;109508305;Not Found;26.5.2016.;Not Found
VIPOL DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU PROMET I USLUGE NOVI SAD;VIPOL DOO NOVI SAD;APATINSKA 4;21000 Novi Sad;Južno-Bački;08268576;102585389;Društvo sa ograničenom odgovornošću;2.5.1991.;Proizvodnja predmeta od plastike za građevinarstvo
VIPOL SAMOSTALNO ZANATSKA RADNJA, ALEKSIĆ STEVAN;VIPOL SAMOSTALNO ZANATSKA RADNJA, ALEKSIĆ STEVAN;JUŽNI BULEVAR 144;11104 Beograd (Vračar);Grad Beograd;56052470;102551926;Preduzetnik;23.7.2003.;Not Found
VIPOL S.Z.R. VESNA ĐERI;VIPOL S.Z.R. VESNA ĐERI;VIDOVDANSKA 1;21000 Novi Sad;Južno-Bački;52445914;100715807;Preduzetnik;9.10.2002.;Not Found
VOSSLOH MIN SKRETNICE DOO ZA PROIZVODNJU I MONTAŽU SKRETNICA I OPREME NIŠ;VOSSLOH MIN SKRETNICE DOO NIŠ;Bulevar 12. februar bb;18104 Niš (Crveni Krst);Grad Niš;07402384;100501696;Društvo sa ograničenom odgovornošću;1.8.2003.;Proizvodnja ostalih metalnih proizvoda
PRIVREDNO DRUŠTVO ZA PROIZVODNJU I USLUGE TRGOPREVOZ DAS DOO POŽAREVAC;TRGOPREVOZ DAS DOO POŽAREVAC;BAJE SEKULIĆ BB;12000 POŽAREVAC;Braničevski;20783907;107339844;Društvo sa ograničenom odgovornošću;21.11.2011.;Proizvodnja veznih elemenata i vijčanih mašinskih proizvoda
PRIVREDNO DRUŠTVO ZA TRANSPORT, TRGOVINU I USLUGE TRGOPREVOZ-JOLOVIĆ DOO DUBRAVA;TRGOPREVOZ-JOLOVIĆ DOO IVANJICA;DUBRAVA BB;32252 PRILIČKI KISELJAK;Moravički;20559527;106227609;Društvo sa ograničenom odgovornošću;30.7.2009.;Drumski prevoz tereta
ORTAČKO DRUŠTVO ZA PROIZVODNJU, TRGOVINU I USLUGE TRGO-PREVOZ-DJOKOVIĆI OD DUBRAVA, IVANJICA;ORTAČKO DRUŠTVO ZA PROIZVODNJU, TRGOVINU I USLUGE TRGO-PREVOZ-DJOKOVIĆI OD DUBRAVA, IVANJICA;DUBRAVA BB;32252 PRILIČKI KISELJAK;Moravički;07576617;101063041;Drugo;2.10.1990.;Drumski prevoz tereta
ZLATKO PANTIĆ PR TRGOVINSKO PREVOZNIČKA RADNjA TRGO-PREVOZ 64 ŠUME;ZLATKO PANTIĆ PR TRGO-PREVOZ 64;Šume BB;34313 NATALINCI;Šumadijski;65973464;112241841;Preduzetnik;20.11.2020.;Trgovina na malo polovnom robom u prodavnicama
IVAN ANDRIĆ PR PROIZVODNJA METALNIH PROIZVODA I TRGOVINA FRESKOP VALJEVO;IVAN ANDRIĆ PR PROIZVODNJA METALNIH PROIZVODA I TRGOVINA FRESKOP VALJEVO;DIMITRIJA TUCOVIĆA BB;14000 VALJEVO;Kolubarski;54167385;101491567;Preduzetnik;8.4.1998.;Proizvodnja ostalih metalnih proizvoda
AKVAMONT DOO NOVI SAD;AKVAMONT DOO NOVI SAD;Bulevar Oslobođenja 42;21000 Novi Sad;Južno-Bački;20091754;104122352;Društvo sa ograničenom odgovornošću;15.4.2005.;Inženjerske delatnosti i tehničko savetovanje
AKVA-MONT DOO ZA PROIZVODNJU, TRGOVINU I USLUGE NOVI SAD;AKVA-MONT DOO NOVI SAD;TEMERINSKI PUT 2V;21000 Novi Sad;Južno-Bački;08327599;101694814;Društvo sa ograničenom odgovornošću;27.5.1992.;Tehničko ispitivanje i analize
JELENA RADULOVIĆ PR POSTAVLJANJE VODOVODNIH I KANALIZACIONIH SISTEMA AKVAMONT NK KRALJEVO;JELENA RADULOVIĆ PR POSTAVLJANJE VODOVODNIH I KANALIZACIONIH SISTEMA AKVAMONT NK KRALJEVO;Cara Dušana 038 A;36000 KRALJEVO;Raški;65075130;110922296;Preduzetnik;12.7.2018.;Postavljanje vodovodnih, kanalizacionih, grejnih i klimatizacionih sistema
AKVA-MONT SZR;AKVA-MONT SZR;DR IVANA RIBARA 184;11070 NOVI BEOGRAD;Grad Beograd;56568646;Not Found;Preduzetnik;17.2.2005.;Not Found
AKVAMONT SAMOSTALNA VODOINSTALATERSKA RADNJA, ALEKSANDAR RADOSAVLJEVIĆ;AKVAMONT SAMOSTALNA VODOINSTALATERSKA RADNJA, ALEKSANDAR RADOSAVLJEVIĆ;MIĆA RADAKOVIĆA 11;11080 ZEMUN;Grad Beograd;53165249;102963646;Preduzetnik;25.7.2003.;Not Found
Atila Lacko pr Bušenje bunara Akvamont-Atila Temerin;Atila Lacko pr Akvamont-Atila;ALMAŠKA 8;21235 Temerin;Južno-Bački;66989313;113667601;Preduzetnik;4.5.2023.;Izgradnja cevovoda
NENAD ŠOJIĆ PR POSTAVLjANjE VODOVODNIH I KANALIZACIONIH SISTEMA AKVA MONT PLUS POŽEGA;NENAD ŠOJIĆ PR POSTAVLjANjE VODOVODNIH I KANALIZACIONIH SISTEMA AKVA MONT PLUS POŽEGA;Zdravčići BB;31210 POŽEGA;Zlatiborski;65638975;111751048;Preduzetnik;20.11.2019.;Postavljanje vodovodnih, kanalizacionih, grejnih i klimatizacionih sistema
RADE NOVIČIĆ PR POSTAVLJANJE VODOVODNIH I KANALIZACIONIH SISTEMA AKVA MONT 032 GORAČIĆI;RADE NOVIČIĆ PR AKVA MONT 032;Not Found;32232 Goračići;Moravički;66091392;112421859;Preduzetnik;2.4.2021.;Postavljanje vodovodnih, kanalizacionih, grejnih i klimatizacionih sistema
RADOJE UROŠEVIĆ PR POSTAVLJANJE VODOVODNIH, KANALIZACIONIH, GREJNIH I KLIMATIZACIONIH SISTEMA AKVAMONT BB PLUS BAJINA BAŠTA;RADOJE UROŠEVIĆ PR POSTAVLJANJE VODOVODNIH, KANALIZACIONIH, GREJNIH I KLIMATIZACIONIH SISTEMA AKVAMONT BB PLUS BAJINA BAŠTA;BOŠKA BUHE 17;31250 Bajina Bašta;Zlatiborski;67243846;113994076;Preduzetnik;16.10.2023.;Postavljanje vodovodnih, kanalizacionih, grejnih i klimatizacionih sistema
SAMOSTALNA ZANATSKA RADNJA AKVAMONT RADOSLAV KORICA PR KULA;SAMOSTALNA ZANATSKA RADNJA AKVAMONT RADOSLAV KORICA PR KULA;JAKOVA IGNJATOVIĆA 124;25230 Kula;Zapadno-Bački;60847525;105202756;Preduzetnik;1.10.2007.;Postavljanje vodovodnih, kanalizacionih, grejnih i klimatizacionih sistema
AKCIONARSKO DRUŠTVO INSA INDUSTRIJA SATOVA BEOGRAD (ZEMUN);INSA AD BEOGRAD;TRŠĆANSKA 21;11080 ZEMUN;Grad Beograd;07006357;100001693;Akcionarsko društvo;17.8.1950.;Proizvodnja mernih, istraživačkih i navigacionih instrumenata i aparata
PREDUZEĆE ZA PROIZVODNJU TRGOVINU I USLUGE INSA-OIL 021 DOO KULA;INSA-OIL 021 DOO KULA;ISE SEKICKOG 63;25230 Kula;Zapadno-Bački;08217190;100641772;Društvo sa ograničenom odgovornošću;7.12.1990.;Trgovina na malo motornim gorivima u specijalizovanim prodavnicama
INSA K.M.A. FIELDS doo Beograd;INSA K.M.A. FIELDS doo Beograd;TRŠĆANSKA 21;11080 ZEMUN;Grad Beograd;21817724;113178670;Društvo sa ograničenom odgovornošću;26.7.2022.;Gajenje ostalog drvenastog, žbunastog i jezgrastog voća
REDWOOD IN.S.A D.O.O. BEOGRAD-STARI GRAD;REDWOOD IN.S.A D.O.O. BEOGRAD;Cara Dušana 70;11000 BEOGRAD;Grad Beograd;21055646;108726655;Društvo sa ograničenom odgovornošću;22.10.2014.;Nespecijalizovana trgovina na veliko
AEROKLUB INSA;AEROKLUB INSA;TRŠĆANSKA 21/2;11080 ZEMUN;Grad Beograd;17816217;106956471;Udruženje, savez;13.1.2011.;Delatnost sportskih klubova
INSA ŠAHOVSKI KLUB;INSA ŠAHOVSKI KLUB;TRŠĆANSKA 21;11080 ZEMUN;Grad Beograd;17755064;106275661;Not Found;15.9.2009.;Delatnost sportskih klubova
SINDIKALNA ORGANIZACIJA SAMOSTALNOG SINDIKATA INSA A.D. BEOGRAD;SINDIKALNA ORGANIZACIJA SAMOSTALNOG SINDIKATA INSA A.D. BEOGRAD;TEŠČANSKA 21;11080 ZEMUN;Grad Beograd;17891898;102252420;Not Found;1.1.0001.;Not Found
SINDIKALNA ORGANIZACIJA SAMOSTALNOG SINDIKATA INSA A.D.;S.O.SAM.SIN.INSAAD ZEMUN;TRŠĆANSKA 21;11080 ZEMUN;Grad Beograd;17696092;102252420;Not Found;28.1.2003.;Delatnost sindikata
Suzana Arnautović pr Proizvodnja i servisiranje prikolica i poluprikolica INSA ROAD Smederevska Palanka;Suzana Arnautović pr Proizvodnja i servisiranje prikolica i poluprikolica INSA ROAD Smederevska Palanka;GLAVAŠEVA 100;11420 SMEDEREVSKA PALANKA;Podunavski;66027767;112325963;Preduzetnik;29.1.2021.;Proizvodnja karoserija za motorna vozila, prikolice i poluprikolice
"ŠAHOVSKI KLUB ""INSA""";"ŠAHOVSKI KLUB ""INSA""";TRŠĆANSKA 21;11080 ZEMUN;Grad Beograd;28788924;107958247;Udruženje, savez;4.3.2013.;Delatnost sportskih klubova
DRUŠTVO ZA SPOLJNU I UNUTRAŠNJU TRGOVINU I USLUGE EUROTEHNA-021 DOO NOVI SAD;EUROTEHNA-021 DOO NOVI SAD;ŽELEZNIČKA 12;21000 Novi Sad;Južno-Bački;08749990;101634740;Društvo sa ograničenom odgovornošću;22.2.2002.;Trgovina na veliko električnim aparatima za domaćinstvo
GORAN STEVANETIĆ PR, SAMOSTALNA ZANATSKA RADNJA EUROTEHNA BAJINA BAŠTA;EUROTEHNA;STEPE STEPANOVIĆA 7;31250 Bajina Bašta;Zlatiborski;61129197;104171937;Preduzetnik;12.7.2010.;Mašinska obrada metala
DRUŠTVO ZA TRGOVINU I USLUGE NSV EUROTEHNA DOO, NOVI SAD;NSV EUROTEHNA DOO NOVI SAD;JOVANA HRANILOVIĆA 26;21000 Novi Sad;Južno-Bački;20082151;104068739;Društvo sa ograničenom odgovornošću;19.9.2005.;Popravka ostalih ličnih predmeta i predmeta za domaćinstvo
DRUŠTVO ZA TRGOVINU I USLUGE PRIMERO RENT A CAR DOO BEOGRAD-SAVSKI VENAC;PRIMERO RENT A CAR DOO BEOGRAD;VASE PELAGIĆA 38;11040 BEOGRAD;Grad Beograd;17453416;102449114;Društvo sa ograničenom odgovornošću;4.12.2002.;Iznajmljivanje i lizing automobila i lakih motornih vozila
S-RENT DOO BEOGRAD;S-RENT DOO BEOGRAD;Milutina Milankovića 3 A;11070 NOVI BEOGRAD;Grad Beograd;20172274;104487384;Društvo sa ograničenom odgovornošću;6.6.2006.;Iznajmljivanje i lizing automobila i lakih motornih vozila
URMA RENT DOO NOVI SAD ZA IZNAJMLJIVANJE VLASTITIH I IZNAJMLJENIH NEKRETNINA I UPRAVLJANJE NJIMA;URMA RENT DOO NOVI SAD;SENTANDREJSKI PUT 165;21000 Novi Sad;Južno-Bački;21036099;108623045;Društvo sa ograničenom odgovornošću;6.8.2014.;Iznajmljivanje vlastitih ili iznajmljenih nekretnina i upravljanje njima
PRIVREDNO DRUŠTVO PIRAEUS RENT DOO BEOGRAD;PIRAEUS RENT DOO BEOGRAD;Makenzijeva 57;11000 BEOGRAD;Grad Beograd;20305487;105064597;Društvo sa ograničenom odgovornošću;9.7.2007.;Ostale nepomenute finansijske usluge, osim osiguranja i penzijskih fondova
PREDUZEĆE AAA-1 RENT DOO BEOGRAD-STARI GRAD;AAA-1 RENT DOO;ŽORŽA KLEMANSOA 19;11000 BEOGRAD;Grad Beograd;20407859;105627039;Društvo sa ograničenom odgovornošću;14.4.2008.;Iznajmljivanje i lizing automobila i lakih motornih vozila
RAIFFEISEN RENT DOO BEOGRAD;Raiffeisen Rent d.o.o.;Đorđa Stanojevića 16;11070 NOVI BEOGRAD;Grad Beograd;20126825;104238064;Društvo sa ograničenom odgovornošću;6.2.2006.;Iznajmljivanje i lizing automobila i lakih motornih vozila
EURO KB RENT doo Beograd-Voždovac;EURO KB RENT doo Beograd-Voždovac;LJUBE ČUPE 5;11010 BEOGRAD-VOŽDOVAC;Grad Beograd;21281859;109995688;Društvo sa ograničenom odgovornošću;18.4.2017.;Skladištenje
MK OFFICE RENT doo Beograd;MK OFFICE RENT doo;BULEVAR ARSENIJA ČARNOJEVIĆA 59A;11070 NOVI BEOGRAD;Grad Beograd;21666874;112406941;Društvo sa ograničenom odgovornošću;23.3.2021.;Iznajmljivanje vlastitih ili iznajmljenih nekretnina i upravljanje njima
CITY RENT A CAR DOO, BEOGRAD (NOVI BEOGRAD);CITY RENT A CAR DOO BEOGRAD;Bulevar Zorana Đinđića 59/23;11070 NOVI BEOGRAD;Grad Beograd;20432748;105652884;Društvo sa ograničenom odgovornošću;18.6.2008.;Iznajmljivanje i lizing automobila i lakih motornih vozila
ALPHA RENT DOO BEOGRAD;ALPHA RENT DOO BEOGRAD;MIRIJEVSKI BULEVAR 18B;11000 BEOGRAD;Grad Beograd;20144262;104310167;Društvo sa ograničenom odgovornošću;3.3.2006.;Iznajmljivanje vlastitih ili iznajmljenih nekretnina i upravljanje njima
DARKO ORELJ PR, RUČNA I MAŠINSKA OBRADA METALA ORELJ NOVA PAZOVA;DARKO ORELJ PR, RUČNA I MAŠINSKA OBRADA METALA ORELJ NOVA PAZOVA;CVIJE KUKOLJA 40;22330 Nova Pazova;Sremski;62494107;107094346;Preduzetnik;25.5.2011.;Mašinska obrada metala
MILICA ORELJ PR PROIZVODNJA, TRGOVINA I VETERINARSKA APOTEKA PANN PETS SOMBOR;MILICA ORELJ PR PANN PETS SOMBOR;VENAC VOJVODE PETRA BOJOVIĆA 24;25000 Sombor;Zapadno-Bački;65326809;111313536;Preduzetnik;4.3.2019.;Trgovina na malo farmaceutskim proizvodima u specijalizovanim prodavnicama – apotekama
STR LOCO ORELJ MARTA PREDUZETNIK SUBOTICA;LOCO;BRAĆE MAJER 3;24000 Subotica;Severno-Bački;55876606;102905879;Preduzetnik;23.6.2003.;Trgovina na malo u nespecijalizovanim prodavnicama, pretežno hranom, pićima i duvanom
NADA ORELJ PR TRGOVINSKA RADNJA NADA COOL KAĆ;NADA ORELJ PR NADA COOL;Svetosavska 12;21241 Kać;Južno-Bački;64463934;109839556;Preduzetnik;6.1.2017.;Trgovina na malo tekstilom u specijalizovanim prodavnicama
NIKOLA ORELJ PR AUTOSERVIS ORELJ ND KAĆ;NIKOLA ORELJ PR AUTOSERVIS ORELJ ND KAĆ;KRALJA PETRA PRVOG 82;21241 Kać;Južno-Bački;61188681;106676257;Preduzetnik;18.6.2010.;Održavanje i popravka motornih vozila
NIKOLINA ORELJ PR ROĐENDAONICA ARKADIA 021 NOVI SAD;NIKOLINA ORELJ PR ARKADIA 021;Bulevar Evrope 19;21000 Novi Sad;Južno-Bački;65757788;111944587;Preduzetnik;13.5.2020.;Ostale zabavne i rekreativne delatnosti
RADOJKA ORELJ PR FRIZERSKI SALON LUX NENA VETERNIK;RADOJKA ORELJ PR FRIZERSKI SALON LUX NENA VETERNIK;MIJE ALEKSIĆA 2A;21203 Veternik;Južno-Bački;66106497;112443037;Preduzetnik;15.4.2021.;Delatnost frizerskih i kozmetičkih salona
DUŠAN ORELJ PR AUTOPREVOZNIČKA RADNJA ORELJ TIM BAČKA PALANKA;DUŠAN ORELJ PR ORELJ TIM;SLAVKA RODIĆA 20;21400 Bačka Palanka;Južno-Bački;63955825;109136018;Preduzetnik;26.8.2015.;Drumski prevoz tereta
JUHAS & ORELJ DOO APATIN;JUHAS & ORELJ DOO;PETEFI ŠANDORA 46 C;25260 Apatin;Zapadno-Bački;08816204;103417916;Društvo sa ograničenom odgovornošću;25.3.2004.;Gajenje ostalog drvenastog, žbunastog i jezgrastog voća
ADVOKAT, ZORAN ORELJ;ADVOKAT, ZORAN ORELJ;SVETOG SAVE 4;25260 Apatin;Zapadno-Bački;56117270;101268911;Preduzetnik;22.1.2007.;Pravni poslovi
DRUŠTVO ZA PROJEKTOVANJE, PROIZVODNJU, TRGOVINU I USLUGE SERVOTEH DOO DOBANOVCI;SERVOTEH DOO DOBANOVCI;Ugrinovačka 163;11272 Dobanovci;Grad Beograd;17400169;101017443;Društvo sa ograničenom odgovornošću;27.3.2002.;Montaža industrijskih mašina i opreme
SZR MODUL GABOR FURSTNER PREDUZETNIK SUBOTICA;SZR MODUL GABOR FURSTNER PREDUZETNIK SUBOTICA;ŠAJKAŠKA 13;24000 Subotica;Severno-Bački;53732364;100848141;Preduzetnik;15.1.1996.;Mašinska obrada metala
MLADEN BASTAJIĆ PR, SZR MODUL TEMERIN;MLADEN BASTAJIĆ PR, SZR MODUL TEMERIN;NIKOLE TESLE 18;21235 Temerin;Južno-Bački;61209522;106595607;Preduzetnik;22.4.2010.;Proizvodnja ležajeva, zupčanika i zupčastih pogonskih elemenata
DRAGOSLAV MIĆIĆ PR, SZR PROJEKTOVANJE I NADZOR MODUL BVD LOZNICA;MODUL BVD;BULEVAR DOSITEJA OBRADOVIĆA 40/4;15300 LOZNICA;Mačvanski;55006679;101194187;Preduzetnik;20.1.2001.;Postavljanje podnih i zidnih obloga
MODUL S.Z.R. BRANISLAV TRIFUNOVIĆ;MODUL S.Z.R. BRANISLAV TRIFUNOVIĆ;VOJVOĐANSKA 15;37000 KRUŠEVAC;Rasinski;52398223;102039886;Preduzetnik;1.1.0001.;Not Found
UROŠ MRKŠIĆ PR, SAMOSTALNA METALOPRERAĐIVAČKA I PLASTIČARSKA RADNJA ALATNICA, ADA;UROŠ MRKŠIĆ PR, SAMOSTALNA METALOPRERAĐIVAČKA I PLASTIČARSKA RADNJA ALATNICA, ADA;JNA 62;24430 Ada;Severno-Banatski;61399771;106373447;Preduzetnik;23.11.2009.;Mašinska obrada metala
IVAN CAKIĆ PREDUZETNIK METALOPLASTIČARSKA RADNJA REDUKTOR NOVA PAZOVA;REDUKTOR;BULEVAR JOVANA DUČIĆA 29;22330 Nova Pazova;Sremski;52607876;101243352;Preduzetnik;1.5.1993.;Proizvodnja ostalih proizvoda od plastike
REDUKTOR DOO PRIVREDNO DRUŠTVO ZA TRGOVINU I USLUGE MLADENOVAC (VAROŠ);REDUKTOR DOO MLADENOVAC;Kraljice Marije 8/3;11400 MLADENOVAC;Grad Beograd;20496347;105944495;Društvo sa ograničenom odgovornošću;29.1.2009.;Nespecijalizovana trgovina na veliko
MILAN CAKIĆ PR METALOPLASTIČARSKA RADNJA REDUKTOR-PLAST NOVA PAZOVA;MILAN CAKIĆ PR REDUKTOR-PLAST;BULEVAR JOVANA DUČIĆA 29;22330 Nova Pazova;Sremski;67110862;113823577;Preduzetnik;14.7.2023.;Proizvodnja ostalih proizvoda od plastike
PROIZVODNO TRGOVINSKO PREDUZEĆE GS EVROMETAL DOO SVILAJNAC;GS EVROMETAL DOO SVILAJNAC;BRAĆE PROTIĆ 41;35210 SVILAJNAC;Pomoravski;07412061;101476568;Društvo sa ograničenom odgovornošću;20.11.1991.;Proizvodnja alata
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU FITING ZA METALOPRERADJIVAČKU DELATNOST PO, ŠID;DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU FITING ZA METALOPRERADJIVAČKU DELATNOST PO, ŠID;Gibarački put BB;22240 Šid;Sremski;08231354;100929249;Društvo sa ograničenom odgovornošću;25.1.1991.;Ostala trgovina na malo u nespecijalizovanim prodavnicama
STEVO VIDARIĆ PREDUZETNIK, PROIZVODNJA I PROMET MESINGANIH ARMATURA I OTKUP SEKUNDARNIH SIROVINA FITING, NOVI SAD;STEVO VIDARIĆ PR, FITING, NOVI SAD;Veliki rit 9B;21000 Novi Sad;Južno-Bački;53505562;100277256;Preduzetnik;24.5.1991.;Livenje ostalih obojenih metala
SRĐAN MILJKOVIĆ PR POSTAVLJANJE VODOVODNIH KANALIZACIONIH GREJNIH I KLIMATIZACIONIH SISTEMA FITING PLUS NOVA PAZOVA;SRĐAN MILJKOVIĆ PR FITING PLUS;MILOŠA OBILIĆA 86;22330 Nova Pazova;Sremski;64009443;109205836;Preduzetnik;12.10.2015.;Postavljanje vodovodnih, kanalizacionih, grejnih i klimatizacionih sistema
DRAGAN TOMIĆ PREDUZETNIK TRGOVINSKO ZANATSKA RADNJA SREM FITING RUMA;DRAGAN TOMIĆ PREDUZETNIK TRGOVINSKO ZANATSKA RADNJA SREM FITING RUMA;ŽELEZNIČKA 135;22400 RUMA;Sremski;63832367;108970777;Preduzetnik;4.5.2015.;Trgovina na malo metalnom robom, bojama i staklom u specijalizovanim prodavnicama
TOPLICA KNEŽEVIĆ PR RADNJA ZA POSTAVLJANJE VODOVODNIH KANALIZACIONIH GREJNIH I KLIMATIZOVANIH SISTEMA FITING TERM ĆUPRIJA;TOPLICA KNEŽEVIĆ PR FITING TERM;STANOJA TOMIĆA 32;35230 ĆUPRIJA;Pomoravski;63956457;109137035;Preduzetnik;27.8.2015.;Postavljanje vodovodnih, kanalizacionih, grejnih i klimatizacionih sistema
PRIVREDNO DRUŠTVO ZA PROIZVODNJU TRGOVINU I USLUŽNE RADOVE U GRAĐEVINARSTVU FITING DOO, BEOGRAD (STARI GRAD);FITING DOO BEOGRAD, STARI GRAD;VISOKOG STEVANA 18;11000 BEOGRAD;Grad Beograd;17208390;100015550;Društvo sa ograničenom odgovornošću;4.3.1998.;Postavljanje vodovodnih, kanalizacionih, grejnih i klimatizacionih sistema
MARINA VASIĆ PR VODOINSTALATERSKA RADNJA FITING MMMV STARČEVO;MARINA VASIĆ PR VODOINSTALATERSKA RADNJA FITING MMMV STARČEVO;Subotička ulica 5;26232 Starčevo;Južno-Banatski;65751780;111935826;Preduzetnik;28.4.2020.;Postavljanje vodovodnih, kanalizacionih, grejnih i klimatizacionih sistema
SAMOST.TRGOV.RADNJA FITING KOVACEVIC BRANISLAVA KRALJEVO KRALJEVO;SAMOST.TRGOV.RADNJA FITING KOVACEVIC BRANISLAVA KRALJEVO;KOVANLUCKA 8;36000 KRALJEVO;Raški;50264670;Not Found;Preduzetnik;1.1.0001.;Not Found
SAMOSTALNA ZANATSKA RADNJA LIMAR ZR VESNA PEČI PR ZRENJANIN;LIMAR ZR;BAČKA 87;23000 Zrenjanin;Srednje-Banatski;60175349;104422021;Preduzetnik;7.6.2006.;Ostali završni radovi
IGMA INŽENJERING DOO BORČA;IGMA INŽENJERING DOO BEOGRAD;LIČKA 17;11211 Borča;Grad Beograd;07924577;100208551;Društvo sa ograničenom odgovornošću;30.5.1992.;Proizvodnja ostalih metalnih proizvoda
PREDUZEĆE ZA PROIZVODNJU INŽENJERING USLUGE I TRGOVINU ISICO DOO, BEOGRAD;ISICO;MILOVANA NIĆIFOROVIĆA 45;11000 BEOGRAD;Grad Beograd;17164562;101015173;Društvo sa ograničenom odgovornošću;10.6.1997.;Proizvodnja alata
KB ARMATURE KULAŠ BORO PREDUZETNIK BEOGRAD (ČUKARICA);KB ARMATURE;RADNIČKA 5A;11030 BEOGRAD-ČUKARICA;Grad Beograd;53356842;101027950;Preduzetnik;5.5.1995.;Proizvodnja ostalih proizvoda od plastike
PREDUZEĆE MILAN BLAGOJEVIĆ - NAMENSKA AKCIONARSKO DRUŠTVO LUČANI (VAROŠICA);MB - NAMENSKA AD LUČANI;MR RADOŠA MILOVANOVIĆA 2A;32240 LUČANI;Moravički;07327153;101263524;Akcionarsko društvo;19.6.2000.;Proizvodnja eksploziva
SINDIKALNA ORGANIZACIJA MILAN BLAGOJEVIĆ-NAMENSKA A.D. LUČANI;SINDIKALNA ORGANIZACIJA MILAN BLAGOJEVIĆ-NAMENSKA A.D. LUČANI;RADNIČKA BB;32240 LUČANI;Moravički;17632302;101265921;Not Found;18.2.2003.;Delatnost sindikata
MIKRON SZR METALOPRERAĐIVAČKE USLUGE PREDUZETNIK TEMERIN;MIKRON;SIRMAJI KAROLJA 17;21235 Temerin;Južno-Bački;52444349;101454643;Preduzetnik;1.10.1997.;Mašinska obrada metala
SZR MIKRON PETROVIĆ SLOBODAN PREDUZETNIK DEDINA;MIKRON;Rastka Petrovića 29;37000 KRUŠEVAC;Rasinski;56848037;103725067;Preduzetnik;25.2.2005.;Proizvodnja metalnih konstrukcija i delova konstrukcija
SZR MIKRON-RV RADE VASIĆ PR, LJUBOVIJA;MIKRON-RV;KARAĐORĐEVA 24;15320 LJUBOVIJA;Mačvanski;60577676;101968850;Preduzetnik;12.3.2007.;Mašinska obrada metala
MIKRON S.Z.R.;MIKRON S.Z.R.;RUZVELTOVA 24;11050 BEOGRAD-ZVEZDARA;Grad Beograd;55964467;100035161;Preduzetnik;4.11.2004.;Proizvodnja brava i okova
MIKRON S.Z.R. RADOMIR PETROVIĆ;MIKRON S.Z.R. RADOMIR PETROVIĆ;RADOMIRA AVRAMOVIĆA 29;37000 KRUŠEVAC;Rasinski;50982661;102066038;Preduzetnik;1.1.0001.;Not Found
